T ярк. K,T терм. K,I. mA,U. B,W. мВт
1173,1242,0.70,22.86,16.00
1273,1348,0.76,27.85,21.25
1373,1454,0.80,30.94,24.75
1423,1507,0.83,33.80,27.92
1473,1560,0.87,36.85,32.06
1573,1666,1.02,50.07,51.07
1673,1771,1.07,55.70,59.71
1723,1824,1.13,61.35,69.33
1773,1877,1.19,67.10,79.65
1823,1930,1.27,76.00,96.52
1873,1983,1.31,81.40,106.63
1973,2089,1.41,92.70,130.71
2023,2142,1.47,99.50,146.27
2073,2195,1.53,106.90,163.56
2123,2248,1.61,117.60,189.34
2173,2301,1.67,125.00,208.75
